user_id,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,mc1_1,mc1_2,mc1_3,mc1_4,mc1_5,mc1_6,mc1_7,mc1_8,mc1_9,mc2_1,mc2_2,mc2_3,mc2_4,mc2_5,mc2_6,mc2_7,mc2_8,mc2_9
ubeatr32,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
popop00,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
v280096,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
edar520,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chia1117,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lsh770301,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
super696x,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
R0903,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sheryl60122,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
snowcyn32,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hunterex,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cotulip,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MerfolkX,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
d12345890,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zola1201,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jwu618,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
seau,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
comicholic,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
facepaper,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wfuw,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mag760628,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
biolife1002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sm1831azx,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
meastar,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunnycat,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ronica90274,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shoes1117,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tim814,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myonlyspace,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
simple11,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Effie1027,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mgky,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zooz,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nest,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
judy2475,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
geminilai,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
t0i8n1a6,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shengail,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
girlegg,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
infin34,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fifififinna,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pobby,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
maxbian,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
awangya,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pecko,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dowpoubibibi,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
chiachiakuo,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toroayu,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aittting,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
joyjoey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
